"","Participant_ID","referrer","TempCond","tempestclean","age","year","Genderfactor","ethnicity","AttentionCheck"
"2815","10","UCRiverside","Communal",68,"23","Junior","Female","Asian-American","Pass"
"2816","100","UCRiverside","Communal",85,"18","First-year","Male","Asian-American","Fail"
"2817","101","UCRiverside","Communal",75,"21","Senior","Male","Asian-American","Fail"
"2818","102","UCRiverside","Communal",73,"19","Sophomore","Female","Asian-American","Pass"
"2819","103","UCRiverside","Communal",70,"18","First-year","Female","Asian-American","Fail"
"2820","104","UCRiverside","Communal",75,"20","Junior","Female","Asian-American","Pass"
"2821","105","UCRiverside","Communal",75,"22","Senior","Female","Asian-American","Pass"
"2822","106","UCRiverside","Agentic",78,"20","Junior","Female","Asian-American","Pass"
"2823","107","UCRiverside","Agentic",76,"18","First-year","Female","Other","Pass"
"2825","109","UCRiverside","Communal",60,"19","Sophomore","Female","Multiracial","Fail"
"2826","11","UCRiverside","Communal",75,"21","Junior","Female","Multiracial","Pass"
"2829","112","UCRiverside","Agentic",75,"18","First-year","Female","Asian-American","Pass"
"2830","113","UCRiverside","Communal",70,"21","Junior","Female","Asian-American","Fail"
"2831","114","UCRiverside","Communal",70,"19","First-year","Female","White, non-Hispanic or latino","Fail"
"2832","115","UCRiverside","Communal",80,"19","Sophomore","Male","Asian-American","Pass"
"2833","116","UCRiverside","Communal",74,"21","Senior","Female","African-American","Pass"
"2834","117","UCRiverside","Communal",78,"19","Sophomore","Female","Latino or Hispanic","Fail"
"2835","118","UCRiverside","Communal",70,"19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"2836","119","UCRiverside","Communal",75,"18","Sophomore","Male","Latino or Hispanic","Pass"
"2837","12","UCRiverside","Agentic",78,"18","First-year","Female","Asian-American","Fail"
"2838","120","UCRiverside","Agentic",74,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"2839","121","UCRiverside","Agentic",70,"18","First-year","Female","Latino or Hispanic","Pass"
"2840","122","UCRiverside","Communal",71,"19","Sophomore","Female","Latino or Hispanic","Fail"
"2841","123","UCRiverside","Communal",72,"20","Junior","Female","Asian-American","Fail"
"2842","124","UCRiverside","Agentic",72,"19","Sophomore","Female","Latino or Hispanic","Fail"
"2843","125","UCRiverside","Agentic",72,"18","First-year","Male","Latino or Hispanic","Pass"
"2844","126","UCRiverside","Communal",75,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2845","127","UCRiverside","Communal",70,"18","First-year","Female","Asian-American","Pass"
"2846","128","UCRiverside","Communal",70,NA,"Junior","Female","White, non-Hispanic or latino","Pass"
"2847","129","UCRiverside","Communal",78,"19","Sophomore","Female","Latino or Hispanic","Pass"
"2848","13","UCRiverside","Agentic",70,"18","First-year","Female","Latino or Hispanic","Pass"
"2849","130","UCRiverside","Communal",75,"20","Junior","Male","Asian-American","Pass"
"2851","132","UCRiverside","Agentic",72,"18","First-year","Female","Latino or Hispanic","Pass"
"2852","133","UCRiverside","Agentic",73,"17","First-year","Female","African-American","Pass"
"2853","134","UCRiverside","Agentic",70,"21","Junior","Female","Latino or Hispanic","Pass"
"2854","135","UCRiverside","Agentic",70,"17","First-year","Female","Latino or Hispanic","Fail"
"2855","136","UCRiverside","Communal",76,"20","Junior","Female","Asian-American","Pass"
"2856","137","UCRiverside","Communal",72,"20","Senior","Female","Asian-American","Pass"
"2857","138","UCRiverside","Agentic",78,"21","Senior","Female","Asian-American","Fail"
"2858","139","UCRiverside","Agentic",74,"20","Junior","Male","African-American","Pass"
"2860","140","UCRiverside","Communal",73,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"2861","141","UCRiverside","Agentic",75,"18","First-year","Female","Asian-American","Pass"
"2863","143","UCRiverside","Communal",78,"22","Junior","Female","Other","Pass"
"2864","144","UCRiverside","Communal",75,"22","Junior","Female","Latino or Hispanic","Fail"
"2865","145","UCRiverside","Agentic",72,"19","First-year","Female","African-American","Pass"
"2866","146","UCRiverside","Communal",75,"23","Other","Male","Other","Pass"
"2867","147","UCRiverside","Communal",80,"19","Sophomore","Female","Latino or Hispanic","Pass"
"2868","148","UCRiverside","Agentic",78,"19","Sophomore","Female","Latino or Hispanic","Pass"
"2869","149","UCRiverside","Communal",72,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"2872","151","UCRiverside","Agentic",72,"18","First-year","Female","African-American","Pass"
"2875","154","UCRiverside","Communal",72,"18","First-year","Female","African-American","Pass"
"2876","155","UCRiverside","Communal",73,"19","Sophomore","Female","Latino or Hispanic","Fail"
"2877","156","UCRiverside","Communal",75,"19","Sophomore","Female","Asian-American","Pass"
